compound_stem,SMILES,compound_name,pubchem_cid,kegg_id
A00052363,CN(C)C(=O)CC1CC2(CCN(CC2)C(=O)N2CCCC2)Oc2ccccc12,NA,NA,NA
A00055639,Cc1c([nH]c2CC(CC(=O)c12)c1ccco1)C(=O)OCC1CCCO1,mls000090966,NA,NA
A00064324,CNC(=O)CN1CCC11CCN(C1)C(=O)c1ccn(C)n1,NA,NA,NA
A00076817,Cn1cc(cn1)N1CCC2(CCN(C2)C(=O)c2ccncc2)C1=O,NA,NA,NA
A00079315,CC(C)CN1CC2CN(CC2C1)S(=O)(=O)c1ccccc1,NA,NA,NA
A00106730,Fc1cccc(c1)-c1ccc2c(nnn2c1)C1CCCN1Cc1ccncc1,NA,NA,NA
A00113255,CC1(C)C[C@H](C2CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]2C1)C(O)=O,"Oleanolic Acid, Caryophyllin, Astrantiagenin C, Giganteumgenin C, Virgaureagenin B",49867939,NA
A00118859,CCC1CCCCN1C(=O)c1sc2ncnc(N(CC)CC)c2c1C,chemdiv1_017059,NA,NA
A00121219,O=C(CN1C(=O)NC2(CCSC2)C1=O)NCc1ccccc1,ac1njwt2,NA,NA
A00131835,Cc1cc(nc(C)n1)C(=O)N1CCCC(C1)Nc1ccc(C)c(C)c1,mls001090799,NA,NA
A00134822,Fc1cccc(c1)N1CC2(CCN(C2)C(=O)COc2ccccc2)CC1=O,NA,NA,NA
A00143808,C1CC(N(C1)C(=O)c1ccncc1)c1nnn2cc(ccc12)-c1ccccc1,NA,NA,NA
A00143970,COc1ccc2cc(ccc2c1)C(=O)C1CCCN(C1)C(=O)c1ccnn1C,ambcb87678272,NA,NA
A00150611,CCS(=O)(=O)N1CCc2ncnc(C3CCOC3)c2CC1,NA,NA,NA
A00161828,CC1Cn2c(S1)nnc2-c1cccs1,smr000081367,NA,NA
A00177377,Cc1ccc(cc1)S(=O)(=O)NCC[C@@]1(C)C2CCC1(C)C(=O)C2,mls000806906,NA,NA
A00183162,CCN(CC)C(=O)C1Cn2ccnc2C2(CCN(Cc3ccc(C)s3)CC2)O1,NA,NA,NA
A00186366,CCn1cc2CN(CC(COC)c2n1)C(=O)c1cscn1,NA,NA,NA
A00197202,CC1CN(CC(C)O1)C(=O)c1ccc2OCOc2c1,st50719738,NA,NA
A00199441,O=C(NC1COC2(C1)CCN(CC2)C(=O)c1cccnc1)c1ccccn1,NA,NA,NA
A00209323,CN(C1CCS(=O)(=O)C1)c1ncnc2sc3CCCc3c12,t0502-2870,NA,NA
A00213394,OC1CN=C2Sc3ccccc3N2C1,mls000038021,NA,NA
A00229314,CCOC(=O)N1CCN(CC1)C(=O)C1CCC(=O)N(CCCc2ccccc2)C1,ambcb64871066,NA,NA
A00233928,CSc1ccc(cc1)C(=O)C1CCCN(Cc2cccnc2)C1,mls000735312,NA,NA
